price,rooms,bathroom,lift,terrace,square_meters,real_state,neighborhood_Eixample,neighborhood_Gràcia,neighborhood_Horta- Guinardo,neighborhood_Les Corts,neighborhood_Nou Barris,neighborhood_Sant Andreu,neighborhood_Sant Martí,neighborhood_Sants-Montjuïc,neighborhood_Sarria-Sant Gervasi
1000,1,2,True,False,50,flat,1,0,0,0,0,0,0,0,0
1200,1,1,True,False,50,flat,1,0,0,0,0,0,0,0,0
1350,3,1,True,True,120,flat,1,0,0,0,0,0,0,0,0
1425,2,2,True,False,88,flat,0,0,0,1,0,0,0,0,0
1550,5,2,True,True,146,flat,0,0,0,1,0,0,0,0,0
1495,4,2,True,False,123,flat,0,0,0,1,0,0,0,0,0
950,2,1,True,False,62,flat,1,0,0,0,0,0,0,0,0
950,1,1,True,False,50,flat,1,0,0,0,0,0,0,0,0
2300,2,2,False,False,96,flat,0,0,0,0,0,0,0,0,0
1500,2,2,True,False,88,flat,0,0,0,0,0,0,0,0,1
2300,4,2,True,False,158,flat,0,0,0,0,0,0,0,0,1
1100,2,1,True,False,57,flat,1,0,0,0,0,0,0,0,0
1100,1,1,True,True,45,attic,0,0,0,0,0,0,0,0,1
1150,1,1,True,False,40,flat,0,0,0,0,0,0,0,0,1
1060,4,2,True,False,98,flat,0,0,0,0,0,0,0,0,1
750,1,1,False,False,60,flat,0,0,0,0,0,0,0,1,0
1000,3,1,True,True,71,attic,0,0,1,0,0,0,0,0,0
750,2,1,False,False,52,flat,0,0,0,0,0,0,0,1,0
1200,2,2,True,False,113,flat,1,0,0,0,0,0,0,0,0
700,1,1,True,False,50,flat,0,0,0,0,0,0,0,0,0
1125,2,1,True,True,75,flat,0,0,0,0,0,0,0,0,0
1300,2,1,True,False,80,flat,1,0,0,0,0,0,0,0,0
970,2,1,True,True,43,flat,0,0,0,0,0,0,0,0,1
1950,5,3,True,True,170,flat,0,0,0,0,0,0,0,0,1
1000,3,1,True,True,70,flat,1,0,0,0,0,0,0,0,0
1850,3,2,True,True,100,flat,0,0,0,0,0,0,0,0,1
1290,3,2,True,False,100,flat,1,0,0,0,0,0,0,0,0
950,1,1,True,False,54,flat,0,0,0,0,0,0,0,0,0
1500,2,2,True,False,95,flat,1,0,0,0,0,0,0,0,0
650,1,1,True,False,25,flat,1,0,0,0,0,0,0,0,0
750,1,1,False,False,22,flat,0,0,0,0,0,0,0,0,0
1080,2,1,False,False,75,flat,0,0,0,0,0,0,0,0,1
890,1,1,True,False,54,flat,0,0,0,0,0,0,0,0,1
1200,2,2,False,False,98,flat,0,0,0,0,0,0,0,0,0
1626,3,2,True,True,81,flat,1,0,0,0,0,0,0,0,0
750,1,1,False,False,40,flat,0,0,0,0,0,0,0,0,0
1200,2,1,False,False,50,flat,0,0,0,0,0,0,0,1,0
2200,2,2,True,True,89,flat,0,0,0,0,0,0,0,0,0
1700,3,1,True,True,130,flat,0,0,0,0,0,0,0,0,0
1450,4,2,True,False,84,flat,0,0,0,1,0,0,0,0,0
1200,3,1,True,False,75,flat,0,0,0,0,0,0,0,0,0
1350,4,2,True,True,112,flat,0,0,0,1,0,0,0,0,0
1400,3,2,True,False,106,flat,1,0,0,0,0,0,0,0,0
2000,5,3,True,True,167,flat,0,0,0,0,0,0,0,0,1
1724,3,2,True,True,78,flat,1,0,0,0,0,0,0,0,0
1150,3,2,True,False,88,flat,0,0,0,0,0,0,0,0,1
935,3,2,False,False,82,flat,0,0,1,0,0,0,0,0,0
2500,3,2,True,True,145,flat,0,0,0,0,0,0,0,0,1
2000,3,2,True,True,110,flat,1,0,0,0,0,0,0,0,0
1590,3,2,True,False,110,flat,1,0,0,0,0,0,0,0,0
3000,3,3,True,True,174,flat,0,0,0,0,0,0,0,0,0
2600,3,2,False,True,136,flat,0,0,0,0,0,0,1,0,0
1000,3,1,False,False,63,flat,0,1,0,0,0,0,0,0,0
1900,2,2,True,True,92,flat,0,1,0,0,0,0,0,0,0
1600,4,2,True,True,137,flat,0,0,0,0,0,0,0,0,1
1650,3,2,True,True,138,flat,1,0,0,0,0,0,0,0,0
2500,3,2,True,True,136,flat,0,0,0,0,0,0,0,0,1
1450,2,1,True,False,90,flat,1,0,0,0,0,0,0,0,0
2700,5,3,True,True,227,flat,0,0,0,0,0,0,0,0,1
900,3,1,True,False,82,flat,0,1,0,0,0,0,0,0,0
1950,2,1,True,True,100,flat,0,0,0,0,0,0,1,0,0
1150,1,2,True,False,100,flat,0,0,0,0,0,0,0,0,0
1050,3,1,True,False,81,flat,1,0,0,0,0,0,0,0,0
3000,4,3,True,True,193,attic,1,0,0,0,0,0,0,0,0
1150,1,1,True,True,45,flat,0,0,0,0,0,0,0,0,0
1750,4,2,True,True,100,flat,0,0,0,0,0,0,1,0,0
900,1,1,False,True,47,flat,0,0,0,0,0,0,0,1,0
2200,3,2,True,False,110,flat,1,0,0,0,0,0,0,0,0
2200,4,2,True,True,175,flat,1,0,0,0,0,0,0,0,0
975,1,1,True,False,51,flat,0,0,0,0,0,0,0,0,0
2200,3,2,True,False,112,flat,1,0,0,0,0,0,0,0,0
1300,1,1,True,False,99,flat,0,0,0,0,0,0,0,0,0
1200,1,1,False,False,60,flat,0,0,0,0,0,0,0,0,0
2250,2,2,True,True,75,flat,1,0,0,0,0,0,0,0,0
1975,5,3,True,False,140,flat,0,0,0,0,0,0,0,0,1
1250,2,2,False,False,82,flat,0,0,0,0,0,0,0,0,0
1600,1,1,True,False,82,flat,1,0,0,0,0,0,0,0,0
1750,3,2,True,False,130,flat,0,1,0,0,0,0,0,0,0
1949,1,1,True,True,58,flat,0,1,0,0,0,0,0,0,0
2000,2,2,True,True,115,apartment,0,0,0,0,0,0,0,0,0
1385,2,1,False,False,55,flat,0,0,0,0,0,0,1,0,0
1050,2,1,False,True,55,flat,0,1,0,0,0,0,0,0,0
2150,4,2,True,False,158,flat,0,0,0,0,0,0,1,0,0
1200,2,1,True,True,61,apartment,0,0,0,0,0,0,0,0,0
1360,2,1,True,False,55,flat,0,0,0,0,0,0,1,0,0
800,1,1,True,False,52,flat,0,0,0,0,0,0,0,0,0
1700,2,2,True,True,120,apartment,0,0,0,0,0,0,0,0,0
2900,4,3,True,False,247,apartment,0,0,0,0,0,0,0,0,1
1300,2,1,True,False,60,apartment,0,0,0,0,0,0,0,0,0
1700,2,1,True,True,95,apartment,0,0,0,0,0,0,0,0,0
2000,3,2,True,False,92,flat,0,0,0,0,0,0,1,0,0
1450,2,2,False,False,80,attic,0,0,0,0,0,0,0,0,1
550,1,1,False,False,38,flat,0,0,1,0,0,0,0,0,0
2400,3,3,True,False,148,flat,0,0,0,0,0,0,0,0,1
2900,4,2,True,True,150,flat,0,0,0,0,0,0,0,0,1
3000,3,2,True,True,165,flat,0,0,0,0,0,0,0,0,1
3000,3,2,True,False,160,flat,0,0,0,0,0,0,0,0,1
620,0,1,True,False,29,flat,0,0,0,1,0,0,0,0,0
920,3,1,True,False,76,flat,0,0,0,0,0,0,1,0,0
895,1,1,True,False,55,flat,1,0,0,0,0,0,0,0,0
750,3,1,True,False,67,flat,0,0,0,0,0,1,0,0,0
1050,3,1,True,False,75,flat,0,0,0,0,0,0,0,0,1
800,3,1,False,False,65,flat,0,0,0,0,0,0,1,0,0
1000,3,1,True,False,80,flat,1,0,0,0,0,0,0,0,0
1085,3,2,True,False,83,flat,0,0,0,1,0,0,0,0,0
850,3,1,True,False,58,flat,0,0,0,0,0,0,0,1,0
